unique_elements,count
SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT,5
YEAST EXTRACT,5
COCCINIA INDICA FRUIT EXTRACT,5
SACCHARUM OFFICINARUM (SUGARCANE) EXTRACT,5
SODIUM DEHYDROACETATE,4
ARNICA MONTANA (ARNICA) FLOWER EXTRACT,4
TIMONACIC,4
METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL,4
POLOXAMER 338,4
PERLITE,4
ROSA GALLICA FLOWER EXTRACT,4
FAEX EXTRACT / YEAST EXTRACT,4
POLYGLYCERYL-3 POLYRICINOLEATE,4
SALICYLOYL PHYTOSPHINGOSINE,4
DIAZOLIDINYL UREA,4
OLEA EUROPAEA HUSK OIL,4
CARTHAMUS TINCTORIUS SEED OIL,4
HECTORITE,4
AMBER EXTRACT,4
ZEA MAYS STARCH / CORN STARCH,4
CALCIUM PCA,4
HYDROXYPROPYLTRIMONIUM HYALURONATE,4
LITHOTHAMNION CALCAREUM EXTRACT,4
PERSEA GRATISSIMA (AVOCADO ) OIL,4
PARFUM/ FRAGRANCE,4
FRUCTOOLIGOSACCHARIDES,4
OLEA EUROPAEA (OLIVE) HUSK OIL,4
GLUCOSAMINE HCL,4
BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,4
BUTYROSPERMUM PARKII BUTTER/SHEA BUTTER,4
CI 60730,4
PEG-35 CASTOR OIL,4
SUCROSE POLYSTEARATE,4
ALTEROMONAS FERMENT EXTRACT,4
PENTAPEPTIDE-18,4
LAVANDULA ANGUSTIFOLIA FLOWER EXTRACT,4
NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-76,4
DISODIUM OLEATE,4
PALMITOYL TRIPEPTIDE-8,4
ACETYL HEXAPEPTIDE-49,4
HYDROLYZED ALGIN,4
PEG-20 SORBITAN ISOSTEARATE,4
SACCHAROMYCES FERMENT LYSATE FILTRATE,4
SACCHAROMYCES FERMENT FILTRATE,4
